a,b,c,LABEL
-0.4092, 5.3727, 905.0529 , Ok
-0.4435, 5.5548, 906.6032 , Ok
-0.3561, 5.1907, 898.5503 , Ok
-0.3309, 5.3661, 917.8568 , Ok
-0.3367, 5.5791, 923.6468 , Ok
-0.3828, 5.3591, 925.2125 , Fatal
-0.3009, 5.5172, 873.9796 , Ok
-0.3544, 5.2689, 890.4343 , Ok
-0.4301, 4.9725, 908.2534 , Ok
-0.3833, 5.5242, 889.7280 , Ok
-0.4357, 5.5644, 878.0147 , Ok
-0.3862, 5.4808, 895.8136 , Ok
-0.4570, 5.4488, 887.3204 , Ok
-0.4001, 5.7265, 952.6078 , Ok
-0.3826, 5.4212, 926.0648 , Ok
-0.3535, 4.8990, 905.3630 , Ok
-0.3581, 5.4045, 919.5252 , Ok
-0.3931, 5.2249, 906.6098 , Ok
-0.3212, 5.4490, 936.2398 , Ok
-0.3776, 5.4213, 924.0755 , Ok
-0.3999, 5.3260, 932.0475 , Ok
-0.3966, 5.2198, 886.2909 , Ok
-0.3075, 5.5801, 893.9585 , Ok
-0.3962, 5.6062, 898.5150 , Ok
-0.3654, 5.1540, 877.2903 , Ok
-0.3852, 5.2431, 921.1505 , Ok
-0.3469, 5.3399, 895.7873 , Ok
-0.3812, 5.2410, 924.4368 , Ok
-0.3993, 5.3847, 925.0595 , Ok
-0.3899, 5.5575, 884.8831 , Ok
-0.3778, 5.2028, 943.8613 , Ok
-0.3489, 5.1086, 936.5783 , Ok
-0.4084, 5.0913, 946.7241 , Ok
-0.3899, 5.4791, 874.3930 , Ok
-0.4534, 5.1420, 910.9981 , Ok
-0.3851, 5.4042, 889.2252 , Ok
-0.3139, 5.4354, 930.7199 , Ok
-0.3699, 5.3477, 931.3983 , Ok
-0.2957, 5.0877, 910.3623 , Ok
-0.3233, 5.3990, 889.9868 , Ok
-0.3656, 5.4442, 866.9000 , Ok
-0.4459, 5.5593, 923.6595 , Ok
-0.3225, 5.2151, 899.0662 , Ok
-0.3012, 5.3076, 901.8456 , Ok
-0.3418, 5.0025, 940.0069 , Ok
-0.3628, 5.3905, 892.5122 , Ok
-0.3462, 5.6329, 897.8591 , Ok
-0.4219, 5.2622, 926.7211 , Ok
-0.3809, 5.6666, 913.7091 , Ok
-0.4118, 5.3470, 898.2778 , Fatal
-0.4113, 5.5329, 933.6950 , Ok
-0.3491, 4.9354, 935.1873 , Fatal
-0.3737, 5.6092, 922.1527 , Ok
-0.4146, 5.3333, 929.3704 , Ok
-0.4126, 5.1678, 935.9645 , Ok
-0.3659, 5.2318, 892.1718 , Ok
-0.3600, 5.3494, 900.6360 , Ok
-0.3639, 5.0899, 937.3051 , Ok
-0.3666, 5.4340, 888.2379 , Ok
-0.3170, 5.4844, 942.8407 , Ok
-0.3640, 5.3164, 914.1158 , Fatal
-0.3501, 5.4629, 923.6130 , Ok
-0.3061, 5.3173, 881.4897 , Ok
-0.4169, 4.9504, 928.3911 , Fatal
-0.4245, 4.8366, 859.6165 , Ok
-0.4099, 5.0989, 926.7855 , Ok
-0.4530, 4.9545, 943.1538 , Ok
-0.3353, 5.1055, 928.7751 , Ok
-0.4035, 5.5662, 901.2975 , Ok
-0.3879, 5.4641, 892.9009 , Ok
-0.3233, 5.1543, 897.1502 , Ok
-0.3414, 5.0921, 922.0216 , Ok
-0.3255, 5.3859, 878.8053 , Ok
-0.3670, 5.6833, 883.6939 , Ok
-0.3802, 5.6615, 891.5482 , Ok
-0.4632, 5.4232, 918.5833 , Ok
-0.3746, 5.3038, 916.1254 , Ok
-0.3841, 5.7016, 944.1986 , Ok
-0.2857, 5.3121, 898.2235 , Ok
-0.3773, 4.9536, 916.2095 , Ok
-0.3052, 5.2351, 920.5753 , Ok
-0.3816, 5.4581, 928.3017 , Ok
-0.3989, 5.2637, 914.8343 , Ok
-0.3972, 5.3574, 894.7465 , Ok
-0.3963, 5.1825, 895.6118 , Ok
-0.3472, 5.1807, 894.0815 , Ok
-0.4129, 5.3186, 899.7742 , Ok
0.4028, 6.3694, 94.5154 , Fatal
0.3206, 2.9072, 463.9107 , Ok
-0.0277, 8.0894, 803.1383 , Ok
-0.5703, 7.3390, 852.7422 , Fatal
0.2136, 4.2991, 471.8501 , Fatal
-0.8257, 3.6017, 366.0095 , Ok
0.1031, 0.3584, 243.5423 , Fatal
-0.4780, 9.4183, 316.7053 , Fatal
0.3227, 3.7478, 301.8356 , Ok
0.6375, 5.5546, 423.1979 , Ok
0.7399, 0.1428, 61.9702 , Ok
0.8139, 1.3737, 977.9750 , Fatal
0.5791, 2.8800, 390.4630 , Fatal
-0.9017, 5.5779, 229.0001 , Ok
-0.3107, 3.6013, 342.7196 , Ok
-0.6274, 1.3150, 347.1924 , Fatal
-0.2082, 3.4417, 471.9180 , Ok
0.7433, 1.3825, 776.6790 , Fatal
0.1566, 5.8296, 539.3396 , Fatal
-0.8167, 1.0191, 532.5038 , Ok
-0.6745, 0.6734, 801.7177 , Ok
0.0321, 4.7679, 965.1448 , Ok
-0.1366, 8.0434, 12.9647 , Ok
0.3835, 9.4974, 605.3105 , Fatal
-0.3563, 3.3552, 453.0018 , Ok
-0.6799, 1.9967, 182.0070 , Ok
-0.8240, 9.1251, 9.5387 , Fatal
0.2487, 9.9501, 490.1534 , Ok
-0.8656, 4.1673, 128.3909 , Fatal
-0.6309, 5.4538, 899.1150 , Ok
0.4705, 4.3745, 951.3701 , Ok
0.5419, 3.5831, 831.1990 , Fatal
0.7064, 3.7759, 526.6370 , Ok
0.6642, 1.3577, 677.5017 , Ok
0.6651, 8.8881, 125.6887 , Fatal
0.0508, 3.7680, 792.8174 , Ok
0.9367, 8.3354, 633.4688 , Ok
-0.8095, 4.0011, 850.1383 , Ok
0.3001, 4.3452, 952.2253 , Ok
-0.2934, 1.0674, 118.9064 , Ok
0.5380, 6.6001, 245.3228 , Fatal
-0.4413, 9.6440, 357.3741 , Ok
-0.1985, 9.7135, 540.2911 , Ok
-0.1090, 8.9996, 641.1863 , Fatal
-0.8208, 1.4248, 797.2411 , Ok
0.5688, 0.6041, 378.8667 , Ok
0.8295, 9.0148, 199.2716 , Fatal
-0.5921, 3.9931, 218.2671 , Ok
-0.6754, 2.8895, 119.5563 , Ok
-0.4516, 6.6978, 80.7272 , Fatal
